"order_no","user_id","withdraw_amount","loan_time","product_name","total_cycle"
"204692501725057107",2,"100.00",2022-07-19 12:15:59,灰度测试,6
"204699813235789838",2,"100.00",2022-07-19 12:45:02,灰度测试,12
"204988251780550740",20,"100.00",2022-07-20 09:03:35,灰度测试,6
"205007194956107865",20,"100.00",2022-07-20 09:05:47,灰度测试,6
"205057151553638417",26,"100.00",2022-07-20 12:24:20,灰度测试,6
"205068627878219842",29,"1000.00",2022-07-20 13:09:49,银信金,12
"205374302734913622",43,"1000.00",2022-07-21 09:24:28,银信金,6
"205388813789433893",45,"1000.00",2022-07-21 10:22:07,银信金,6
"205411658087141466",41,"1000.00",2022-07-21 11:53:02,银信金,6
"205620054589575256",26,"100.00",2022-07-22 01:41:06,灰度测试,6
"207149730386546731",26,"100.00",2022-07-26 07:00:12,灰度测试,6
"209392980061196310",185,"5000.00",2022-08-01 11:35:35,银信金,12
"210083289971691536",209,"9000.00",2022-08-03 09:16:53,银信金,12
"211915782584668173",27,"100.00",2022-08-08 10:40:03,灰度测试,12
"212217877602897982",517,"5000.00",2022-08-09 06:48:19,银信金,12
"212591792858730522",241,"3000.00",2022-08-10 07:25:03,银信金,12
"212593571491090517",720,"7000.00",2022-08-10 07:33:59,银信金,12
"212683319316451385",803,"1500.00",2022-08-10 13:29:02,银信金,6
"212685309303984139",808,"6000.00",2022-08-10 13:36:24,银信金,12
"212925185127485488",945,"12000.00",2022-08-11 08:12:52,银信金,12
"212941377485541423",1056,"3000.00",2022-08-11 06:33:49,银信金,12
"213001901837520897",1138,"8000.00",2022-08-11 10:34:31,银信金,12
"213004165083959326",1137,"8000.00",2022-08-11 10:44:25,银信金,12
"213007058138697729",1121,"9000.00",2022-08-11 10:55:02,银信金,12
"213016587496722472",1153,"2500.00",2022-08-11 11:33:12,银信金,6
"213071376272199689",1011,"8000.00",2022-08-11 15:13:24,银信金,12
"213127716659138630",1038,"3000.00",2022-08-17 15:55:06,银信金,12
"213249594014961668",1289,"3000.00",2022-08-12 02:59:52,银信金,12
"213272824813588574",1334,"4000.00",2022-08-12 04:31:38,银信金,12
"213323082172076073",1380,"12000.00",2022-08-12 07:51:28,银信金,12
"213586017167478809",207,"11000.00",2022-08-13 01:14:57,银信金,12
"213647781108256773",1037,"1000.00",2022-08-13 05:22:13,银信金,12
"213755162546802722",1006,"3000.00",2022-08-13 12:28:25,银信金,12
"213756742910218278",833,"4000.00",2022-08-13 12:34:21,银信金,6
"213949289704067106",1490,"1800.00",2022-08-14 01:19:10,银信金,12
"214060126120841258",1538,"3000.00",2022-08-14 08:39:09,银信金,6
"214103707992854619",1449,"2000.00",2022-08-14 11:32:37,银信金,6
"214336868119089232",663,"2000.00",2022-08-15 02:58:59,银信金,12
"214355323165741129",1530,"3000.00",2022-08-15 04:12:36,银信金,12
"214365641099055129",1528,"1000.00",2022-08-15 04:53:20,银信金,12
"214398965712556033",1589,"6000.00",2022-08-15 07:06:48,银信金,12
"214400392216317990",1593,"8000.00",2022-08-15 07:11:33,银信金,12
"214411987931762780",1563,"4000.00",2022-08-15 08:00:15,银信金,6
"214427298512900110",1449,"2000.00",2022-08-15 08:57:57,银信金,6
"214491764273319939",1528,"1000.00",2022-08-15 13:14:29,银信金,12
"214756235596140615",1823,"4000.00",2022-08-16 06:47:30,银信金,12
"214786697978843142",1869,"5000.00",2022-08-16 09:05:17,银信金,12
"214804933885694029",1889,"2000.00",2022-08-16 09:59:30,银信金,12
"214808668338786353",1790,"6000.00",2022-08-16 10:15:50,银信金,12
"214838691498168325",1885,"3000.00",2022-08-16 12:14:39,银信金,12
"214871261661237333",1839,"3000.00",2022-08-16 14:23:31,银信金,12
"215043293724151901",1962,"3000.00",2022-08-17 01:50:32,银信金,12
"215049817649451056",26,"100.00",2022-08-17 02:11:40,灰度测试,6
"215124035833565188",2175,"1000.00",2022-08-17 07:08:50,银信金,6
"215130251762733133",1006,"3000.00",2022-08-17 07:31:25,银信金,12
