dm_id_003,dm_id_005,dm_id_009,dm_summary_001,dm_summary_002,dm_summary_003,dm_summary_004,dm_summary_005,dm_summary_006,dm_summary_007,dm_summary_011,dm_summary_012,dm_summary_013,dm_summary_014,dm_summary_015,dm_summary_018,dm_summary_021,dm_summary_023,dm_summary_024,dm_summary_025,dm_creditdetails_001,dm_creditdetails_003,dm_creditdetails_004,dm_creditdetails_005,dm_creditdetails_006,dm_creditdetails_007,dm_creditdetails_009,dm_creditdetails_011,dm_creditdetails_012,dm_creditdetails_013,dm_creditdetails_029,dm_creditdetails_030,dm_creditdetails_031,dm_creditdetails_032,dm_creditdetails_034,dm_publicdetails_008,dm_publicdetails_009,dm_creditdetails_017,dm_repayment_1_001,dm_repayment_25_001,dm_repayment_2_001,dm_repayment_15_001,dm_creditdetails_028,dm_qc_sc_01,dm_qc_sc_02,dm_qc_sc_03,dm_qc_sc_04,dm_qc_sc_05,dm_ql_sc_01,dm_ql_sc_02,dm_ql_sc_03,dm_ql_sc_04,dm_ql_sc_05,dm_qdb_sc_01,dm_qdb_sc_02,dm_qdb_sc_03,dm_qdb_sc_04,dm_qdb_sc_05,dm_qc_so_01,dm_qc_so_02,dm_qc_so_03,dm_qc_so_04,dm_qc_so_05,dm_ql_so_01,dm_ql_so_02,dm_ql_so_03,dm_ql_so_04,dm_ql_so_05,dm_qdb_so_01,dm_qdb_so_02,dm_qdb_so_03,dm_qdb_so_04,dm_qdb_so_05,overdue,dm_creditdetails_007_numerator,dm_repayment_1_001_numerator,dm_repayment_25_001_numerator,dm_repayment_2_001_numerator,dm_repayment_15_001_numerator,fold
GZ,YH,ZZ,1,6.3473892096560105,1,5,9.702044336534586,10.315961375454851,10.65563450614867,10.063520895521542,0.0,0,0.0,0,8.163656176168432,0,0,0,7,0.0,7.898039690764619,9.601165503344832,7.207118856207756,7.3487805624888525,3.0,0,30,7,2,0,0.0,0.0,8.0959035329611,0.0,0,0,1,0.041666666666666664,0.0,0.0,0.016666666666666666,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,1.0,1,0,0,1,1.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,1.0
DZ,YH,ZZ,0,0.0,0,4,11.023225122819186,10.932588978440108,11.156836063853547,10.127870335685289,9.21642184229205,0,0.0,0,9.261128538808288,0,0,1,16,0.0,8.92903790648844,10.934159986528998,7.920446505142607,8.683673265212837,5.0,0,70,4,3,0,0.0,0.0,7.427144133408616,0.0,0,0,1,0.0,0.0,0.0,0.0,0,0,0,1,1,4,1,2,2,4,4,1,1,2,3,3,0,0,1,1,3,1,2,2,4,4,1,1,1,1,1,0,3.0,0,0,0,0,0.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,5.916202062607435,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,1,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,3,3,3,3,3,0,1,1,2,4,0,0,0,0,0,3,3,3,3,3,0,1,1,2,4,0,0,0,0,0,0,0.0,0,0,0,0,9.0
XX,YH,ZZ,1,8.860924729719041,4,7,11.22725470181248,11.202738717978361,11.228717351329948,10.597908920973804,0.0,0,0.0,0,8.000014093678072,0,0,0,10,0.0,8.773694146384443,11.1754647399553,6.063785208687608,8.91905180393029,6.0,0,0,13,4,0,0.0,0.0,0.0,7.507141079727608,0,0,0,0.041666666666666664,0.0,0.0,0.13333333333333333,0,2,3,4,5,6,1,4,6,8,12,0,0,0,0,0,2,3,4,5,6,1,4,6,6,8,0,0,0,0,0,0,5.0,1,0,0,8,1.0
NONE,YH,QT,0,0.0,0,1,8.18060094759445,7.523481312573497,8.18060094759445,8.183397369998433,8.174984532943087,0,0.0,0,5.564520407322694,0,0,0,1,0.0,5.170483995038151,8.160803920954665,0.0,5.860786223465865,1.0,0,0,2,1,0,0.0,0.0,0.0,6.3473892096560105,0,0,0,0.0,0.0,0.0,0.0,0,1,2,2,4,4,0,0,0,7,7,0,0,0,0,0,1,1,1,3,3,0,0,0,7,7,0,0,0,0,0,0,1.0,0,0,0,0,4.0
DZ,YH,ZZ,7,9.663388566822505,1,3,9.662752677191515,9.663388566822505,9.212438170058329,9.212438170058329,0.0,0,0.0,0,0.0,1,0,0,4,9.660460120624778,9.660460120624778,0.0,9.765776006660642,0.0,1.0,1,0,2,0,0,0.0,0.0,0.0,0.0,110,6040,0,0.9583333333333334,0.0,0.0,0.9833333333333333,0,0,1,1,2,2,1,3,3,5,5,0,0,0,0,0,0,1,1,2,2,1,3,3,5,5,0,0,0,0,0,0,0.0,23,0,0,59,4.0
NONE,NONE,NONE,0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,2,8,8,8,8,0,3,4,4,4,0,0,0,0,0,2,7,7,7,7,0,3,3,3,3,0,0,0,0,0,0,,0,0,0,0,0.0
ZZ,YH,ZZ,1,2.3978952727983707,1,6,5.14166355650266,11.431292326565295,12.031844250573547,11.156407651542994,0.0,0,0.0,0,0.0,0,0,0,9,0.0,9.298809019963791,11.514953407304466,9.048762176320128,0.0,3.0,0,104,20,2,0,0.0,0.0,0.0,10.205848855956967,46,19360,1,0.041666666666666664,0.0,0.0,0.016666666666666666,0,0,4,5,7,8,0,6,7,7,7,0,0,0,0,0,0,4,5,6,7,0,5,6,6,6,0,0,0,0,0,0,1.0,1,0,0,1,3.0
GZ,YH,ZZ,0,0.0,0,9,11.39662757593744,11.320929259319332,11.448397610442436,10.129865866360268,8.304247465078474,0,0.0,0,9.086023537468803,0,0,0,9,0.0,8.727940222393896,11.306307117238175,5.638354669333745,9.090306054084563,9.0,0,44,9,4,0,0.0,0.0,8.335911094196945,6.769641976852503,0,0,1,0.0,0.0,0.0,0.0,0,3,7,12,13,14,0,1,2,3,12,0,0,0,1,3,3,6,9,10,10,0,1,2,3,11,0,0,0,1,1,0,8.0,0,0,0,0,7.0
