id,customer_unique_key,serial_no,create_time,edit_time,dm_id_003,dm_id_005,dm_id_009,dm_summary_001,dm_summary_002,dm_summary_003,dm_summary_004,dm_summary_005,dm_summary_006,dm_summary_007,dm_summary_011,dm_summary_012,dm_summary_013,dm_summary_014,dm_summary_015,dm_summary_018,dm_summary_021,dm_summary_022,dm_summary_023,dm_summary_024,dm_summary_025,dm_creditdetails_001,dm_creditdetails_003,dm_creditdetails_004,dm_creditdetails_005,dm_creditdetails_006,dm_creditdetails_007,dm_creditdetails_009,dm_creditdetails_011,dm_creditdetails_012,dm_creditdetails_013,dm_creditdetails_029,dm_creditdetails_030,dm_creditdetails_031,dm_creditdetails_032,dm_creditdetails_034,dm_publicdetails_001,dm_publicdetails_002,dm_publicdetails_003,dm_publicdetails_008,dm_publicdetails_009,dm_creditdetails_017,dm_creditdetails_024,dm_repayment_1_001,dm_repayment_25_001,dm_repayment_2_001,dm_repayment_15_001,dm_creditdetails_028,dm_qc_sc_01,dm_qc_sc_02,dm_qc_sc_03,dm_qc_sc_04,dm_qc_sc_05,dm_ql_sc_01,dm_ql_sc_02,dm_ql_sc_03,dm_ql_sc_04,dm_ql_sc_05,dm_qdb_sc_01,dm_qdb_sc_02,dm_qdb_sc_03,dm_qdb_sc_04,dm_qdb_sc_05,dm_qc_so_01,dm_qc_so_02,dm_qc_so_03,dm_qc_so_04,dm_qc_so_05,dm_ql_so_01,dm_ql_so_02,dm_ql_so_03,dm_ql_so_04,dm_ql_so_05,dm_qdb_so_01,dm_qdb_so_02,dm_qdb_so_03,dm_qdb_so_04,dm_qdb_so_05,serial_no
1565045748508688384,C20230222283540087663378523,S20230222283540163546722360,2023-02-22T10:07:24.091,2023-02-23T00:30:25,ZZ,,ZZ,0,0.0000,0,4,1004.6718,1003.6697,1008.5495,995.0576,990.5543,0,0.0000,0,0.0000,0,0,0,0,4,0.0000,968.0000,11341.0000,369.0000,1726.9000,3/4,0,0,0,0,0,0,0.0000,0.0000,0.0000,0,0,0,0,0.0000,0,0,///////*0000000000000000,////////////////////////////////////////////////////////////,////////////////////////,///////////////////////////////////////////*0000000000000000,0.0000,0,2,5,7,10,0,2,4,4,5,0,0,0,0,2,0,2,4,6,8,0,2,3,3,4,0,0,0,0,2,S20230222283540163546722360
1565061112885968896,C20230222283555465470820448,S20230222283555531266867255,2023-02-22T11:08:27.244,2023-02-23T00:30:40,XX,YH,QYGL,0,0.0000,0,1,0.0000,988.0811,997.0322,997.0596,997.0189,0,0.0000,0,990.5573,0,0,0,0,12,0.0000,0.0000,0.0000,0.0000,0.0000,0/0,0,0,23,13,0,0,0.0000,0.0000,989.6392,0,0,0,0,0.0000,0,0,/////*0000000***000000*/,////////////////*00000C**0000C0000C0000000C0000000C0C000C000,000000C0000000C0C000C000,000C0000000**********C///////////////////*0000000***000000*/,0.0000,0,0,0,2,2,1,2,4,11,12,0,0,0,0,0,0,0,0,2,2,1,2,3,8,8,0,0,0,0,0,S20230222283555531266867255
1565124378815397888,C20230222283618735087038537,S20230222283618797401817144,2023-02-22T15:19:51.017,2023-02-23T00:31:32,DZ,YH,ZZ,0,0.0000,0,9,1072.2190,1083.1645,1085.0801,1009.0613,990.0843,0,0.0000,0,992.8172,0,0,0,0,11,0.0000,6973.0000,67463.0000,3760.0000,8147.2000,5/8,0,78,7,5,0,0,0.0000,0.0000,995.3820,0,0,0,0,0.0000,1,0,000000000000C000000C0000,00000000000000000C//////////////*000000000C00000000000000000,000000C00000000000000000,*00000000000000000000000000000000000000000000000C000000C0000,0.0000,1,2,8,12,19,1,6,10,11,13,0,1,2,4,6,1,2,8,10,13,1,4,7,8,8,0,1,1,1,1,S20230222283618797401817144
1564686791894138880,C20230220282936326582583319,S20230221283181210845458527,2023-02-21T10:21:02.165,2023-02-22T00:30:27,XX,,QT,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,1,987.2835,2,988.0672,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0/0,0,0,16,12,0,0,0.0000,0.0000,987.2312,0,0,0,0,0.0000,0,0,////////////////////////,////*000000000C/////////////////0000000C0000000000000C1110C0,000C0000000000000C1110C0,////////////////////////////////////////////////////////////,0.0000,1,1,2,4,10,3,3,4,11,17,0,0,0,0,0,1,1,2,4,8,3,3,4,7,12,0,0,0,0,0,S20230221283181210845458527
1564696733799710720,C20230221283190785673932808,S20230221283191152742645839,2023-02-21T11:00:32.5,2023-02-22T00:30:43,DZ,,ZZ,0,0.0000,0,1,1007.0669,1007.0689,1007.0401,1007.0372,1007.0874,7,989.9821,7,0.0000,0,0,0,5,2,0.0000,0.0000,110.0000,0.0000,2003.0000,0/0,0,0,36,0,0,0,0.0000,0.0000,0.0000,0,0,0,21,989.7570,0,0,//////////////////////0/,12356777777C////////////////////////////////////////////////,////////////////////////,//////////////////////////////////////////////////////////0/,0.0000,3,6,6,11,16,0,6,7,12,17,0,0,0,0,0,3,5,5,6,8,0,6,7,9,11,0,0,0,0,0,S20230221283191152742645839
1564745445292937216,C20230221283239456268496913,S20230221283239862688165898,2023-02-21T14:14:06.225,2023-02-22T00:31:33,,,,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,987.4820,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0/0,0,0,2,2,0,0,0.0000,0.0000,987.6718,0,0,0,0,0.0000,0,0,////////////////////////,///////////////////////////////////////////////////////00000,///////////////////00000,////////////////////////////////////////////////////////////,0.0000,2,2,2,7,9,2,3,11,16,22,0,0,0,0,0,2,2,2,5,6,2,3,7,8,10,0,0,0,0,0,S20230221283239862688165898
1564745637224284160,C20230221283239993911164971,S20230221283240055689068554,2023-02-21T14:14:51.985,2023-02-22T00:31:33,QT,YH,ZY,0,0.0000,0,3,1033.3428,1026.7231,1034.0889,1007.0623,999.0147,0,0.0000,0,993.3838,0,0,0,0,8,0.0000,5077.0000,5077.0000,5077.0000,4122.3000,0/3,0,6,10,5,0,0,0.0000,989.8818,987.9318,0,0,0,0,0.0000,1,0,000000000000000000000000,/////##00000000000000000000000C00000000000000000C0000C00C000,000000000000C0000C00C000,000000000000000000000000000000000000000000000000000000000000,0.0000,0,2,3,3,3,1,10,14,16,17,0,1,1,1,1,0,2,3,3,3,1,10,13,15,16,0,1,1,1,1,S20230221283240055689068554
1564747481484922880,C20230221283241493978824704,S20230221283241896422293600,2023-02-21T14:22:11.691,2023-02-22T00:31:38,XX,,ZZ,0,0.0000,0,3,999.0364,998.6363,998.9657,992.0162,990.0455,2,989.8488,2,988.1678,0,0,0,0,3,0.0000,3561.0000,6999.0000,3178.0000,878.9000,0/3,0,0,11,1,0,1,0.0000,0.0000,988.4286,0,0,0,0,0.0000,0,0,000000000000000000000000,0000C000000000C0000000C0C//////////*0000001010C0C0C00000012/,0000001010C0C0C00000012/,0000000C0000000000000000000000000000000000000000000000000000,989.8583,2,2,4,4,7,1,1,3,5,10,0,0,0,0,0,2,2,4,4,6,1,1,3,4,5,0,0,0,0,0,S20230221283241896422293600
1564777246031908864,C20230221283271278465531962,S20230221283271664458940507,2023-02-21T16:20:28.112,2023-02-22T00:32:00,ZZ,,ZZ,0,0.0000,0,2,989.5438,988.5888,992.5817,990.0680,989.5427,0,0.0000,0,987.2280,0,0,0,0,3,0.0000,4.0000,79.0000,0.0000,250.0000,1/1,0,0,15,5,0,0,0.0000,0.0000,1792.7243,0,0,0,0,0.0000,0,0,********0000000000C0C000,//////////////////////////////////////0000000000CCCCC0000C00,//0000000000CCCCC0000C00,////////////////////************************0000000000C0C000,0.0000,1,2,2,6,15,4,5,6,9,18,0,1,1,1,1,1,2,2,5,8,3,3,3,4,9,0,1,1,1,1,S20230221283271664458940507
1564808677462413312,C20230221283283834110361669,S20230221283303094941528139,2023-02-21T18:25:21.949,2023-02-22T00:32:40,,,ZY,0,0.0000,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0000,0,987.9243,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0/0,0,0,3,2,0,0,0.0000,0.0000,987.6370,0,0,0,0,0.0000,0,0,////////////////////////,////////////////////////////////////////////////////////*00C,////////////////////*00C,////////////////////////////////////////////////////////////,0.0000,3,4,5,5,10,0,2,3,3,3,0,0,0,0,0,3,4,5,5,7,0,2,3,3,3,0,0,0,0,0,S20230221283303094941528139
