iter	Passed	Remaining
0	5	1123
1	9	1056
2	14	1059
3	18	1014
4	22	1001
5	26	982
6	30	962
7	35	952
8	39	936
9	43	926
10	47	919
11	51	918
12	56	916
13	60	909
14	64	904
15	68	898
16	72	892
17	77	886
18	80	878
19	84	868
20	88	863
21	92	857
22	97	852
23	100	845
24	104	839
25	109	836
26	113	831
27	117	826
28	121	821
29	125	814
30	128	807
31	133	803
32	137	799
33	141	793
34	145	789
35	149	784
36	153	780
37	157	777
38	161	771
39	165	767
40	170	764
41	174	760
42	178	757
43	182	751
44	186	747
45	190	743
46	194	738
47	198	733
48	203	730
49	207	725
50	211	720
51	215	716
52	219	712
53	223	707
54	227	703
55	231	698
56	235	695
57	240	691
58	244	687
59	248	683
60	252	679
61	256	674
62	260	670
63	264	665
64	268	661
65	272	656
66	276	652
67	280	648
68	284	644
69	288	639
70	292	635
71	297	631
72	301	626
73	305	622
74	309	619
75	313	615
76	318	611
77	321	606
78	325	602
79	329	597
80	334	594
81	338	589
82	341	585
83	346	580
84	349	575
85	353	571
86	357	567
87	361	563
88	366	560
89	370	556
90	374	551
91	378	547
92	383	543
93	387	540
94	391	536
95	395	531
96	399	527
97	403	523
98	408	519
99	412	515
100	416	511
101	420	507
102	424	503
103	428	498
104	433	495
105	437	490
106	441	486
107	445	482
108	449	478
109	453	474
110	457	470
111	461	466
112	466	461
113	470	457
114	474	453
115	478	449
116	482	445
117	486	440
118	490	436
119	494	432
120	498	428
121	502	424
122	507	420
123	511	416
124	515	412
125	519	408
126	523	404
127	528	400
128	531	395
129	536	391
130	540	387
131	544	383
132	548	379
133	552	375
134	556	371
135	560	366
136	564	362
137	568	358
138	572	354
139	576	350
140	580	346
141	585	341
142	589	337
143	593	333
144	597	329
145	601	325
146	606	321
147	610	317
148	614	313
149	618	309
150	622	305
151	626	300
152	630	296
153	634	292
154	638	288
155	642	284
156	646	280
157	650	275
158	654	271
159	658	267
160	663	263
161	667	259
162	671	255
163	675	251
164	679	247
165	683	243
166	687	238
167	692	234
168	695	230
169	699	226
170	703	222
171	707	218
172	711	213
173	715	209
174	719	205
175	724	201
176	728	197
177	732	193
178	736	189
179	740	185
180	744	180
181	748	176
182	752	172
183	756	168
184	760	164
185	764	160
186	768	156
187	773	152
188	777	148
189	781	143
190	785	139
191	789	135
192	793	131
193	797	127
194	802	123
195	806	119
196	810	115
197	814	111
198	818	106
199	822	102
200	826	98
201	830	94
202	835	90
203	838	86
204	843	82
205	847	78
206	851	74
207	855	69
208	859	65
209	863	61
210	867	57
211	871	53
212	875	49
213	880	45
214	884	41
215	888	37
216	892	32
217	896	28
218	899	24
219	904	20
220	908	16
221	912	12
222	916	8
223	920	4
224	925	0
